issue_id,status,scope,issue_type,affected_pathway,process_stage,linked_instruments,severity_score,frequency_score,legal_risk_score,delay_impact_score,fixability_score,summary,verification_state,confidence
ISSUE-011,Open,National,Restriction,Infrastructure,Consultation,"LEG-ENG-2017-HABITATS|LEG-ENG-2017-EIA",5,3,5,5,2,"Habitats Regulations Assessment and EIA can require near-identical ecological survey data via separate legal routes, doubling applicant cost and extending pre-determination period.",verified,high
ISSUE-012,Open,Authority-specific,Process Delay,Mixed,Condition Discharge,"LEG-ENG-1990-TCPA|LEG-ENG-2015-DMPO",3,5,1,4,4,"Pre-commencement condition discharge applications attract no statutory determination period under current rules, routinely extending post-permission delay by 3-12 months.",verified,high
ISSUE-013,Open,Cross-authority,Ambiguity,Commercial,Committee,"POL-ENG-NPPF|POL-ENG-PPG-34-TRAVEL",3,4,2,3,4,"Transport assessment scope and methodology is negotiated case-by-case with highway authorities, producing inconsistent requirements for comparable commercial schemes.",draft,medium
ISSUE-014,Open,National,Contradiction,Housing,Pre-application,"POL-ENG-NPPF|POL-ENG-PPG-13-GREENBELT",4,3,4,3,2,"NPPF 2024 grey belt policy introduces a new land category without clear boundary criteria, generating uncertainty about what constitutes green belt harm for decision-making.",draft,medium
ISSUE-015,Open,National,Restriction,Mixed,Validation,"LEG-ENG-2017-EIA|POL-ENG-PPG-21-EIA",3,3,2,4,4,"EIA screening thresholds have not been updated to reflect current development typologies, resulting in over-screening of smaller schemes and under-screening of cumulative impacts.",draft,medium
ISSUE-016,Open,Authority-specific,Duplication,Housing,Pre-application,"POL-ENG-PPG-68-VIABILITY|LEG-ENG-2010-CIL",4,4,3,4,3,"Viability assessments required at plan-making stage are routinely re-opened at application stage, duplicating cost and creating policy uncertainty for developers.",draft,high
ISSUE-017,Open,Cross-authority,Process Delay,Mixed,Consultation,"LEG-ENG-2015-DMPO|POL-ENG-PPG",3,5,1,4,5,"Statutory consultee response periods are not enforced; non-responses routinely extend consultation windows beyond 21-day statutory period without consequence.",draft,high
ISSUE-018,Open,National,Ambiguity,Infrastructure,Committee,"LEG-ENG-2008-PA|POL-ENG-NPS-EN1|POL-ENG-NPS-NN",4,3,4,4,3,"Boundary between NSIP and non-NSIP thresholds is contested for hybrid infrastructure schemes, triggering jurisdictional uncertainty between PINS and LPA determination.",draft,medium
ISSUE-019,Open,Authority-specific,Restriction,Housing,Legal Agreements,"LEG-ENG-1990-TCPA|LEG-ENG-2010-CIL",3,4,2,4,4,"LPAs apply inconsistent affordable housing tenure mix requirements in s106, creating renegotiation risk and delaying legal completion.",draft,medium
ISSUE-020,Open,Cross-authority,Contradiction,Mixed,Condition Discharge,"LEG-ENG-1990-TCPA|POL-ENG-PPG",3,4,2,4,4,"Pre-commencement conditions are frequently imposed by LPAs beyond NPPF/PPG guidance necessity tests, increasing post-permission workload without commensurate planning benefit.",draft,medium
ISSUE-021,Open,National,Process Delay,Infrastructure,Pre-application,"LEG-ENG-2008-PA|POL-ENG-NPS-EN1",4,3,3,5,3,"NSIP pre-application consultation requirements are disproportionate for smaller nationally significant schemes, adding 12-24 months before examination can commence.",draft,medium
ISSUE-022,Open,Cross-authority,Ambiguity,Housing,Committee,"POL-ENG-NPPF|LEG-ENG-2004-PCPA",4,4,3,4,3,"Decision-makers apply tilted balance inconsistently when housing land supply is below five-year requirement, producing divergent outcomes for identical scheme types.",draft,high
